Erasure code scheme,buffer size,number of cores,hardware type,encode runtime [usec],decode runtime [usec],encode bandwidth [MB/S],decode bandwidth [MB/S]
10-2,1073741824,3,intel core i7-6700 CPU-3.40GHZ,96560443,96145750,6671.934395,6700.711584
10-2,1073741824,3,intel core i7-6700 CPU-3.40GHZ,97368360,96568352,6616.573811,6671.387959
10-2,1073741824,3,intel core i7-6700 CPU-3.40GHZ,99204684,96316464,6494.098009,6688.835055
10-2,1073741824,4,intel core i7-6700 CPU-3.40GHZ,122553301,123551132,5256.855063,5214.399337
10-2,1073741824,4,intel core i7-6700 CPU-3.40GHZ,126666548,124990071,5086.149034,5154.368948
10-2,1073741824,4,intel core i7-6700 CPU-3.40GHZ,131318145,124400921,4905.985695,5178.779511
10-2,1073741824,4,intel core i7-6700 CPU-3.40GHZ,131800642,123585804,4888.025817,5212.936437
17-3,33554432,1,intel core i7-6700 CPU-3.40GHZ,4026698,4070962,8332.862311,8242.258218
17-3,33554432,2,intel core i7-6700 CPU-3.40GHZ,4650177,4823797,7215.622115,6955.914604
17-3,33554432,2,intel core i7-6700 CPU-3.40GHZ,4724745,4638509,7101.741999,7233.772749
17-3,33554432,3,intel core i7-6700 CPU-3.40GHZ,5378112,5847391,6238.977545,5738.271992
17-3,33554432,3,intel core i7-6700 CPU-3.40GHZ,5683680,5619219,5903.555443,5971.278215
17-3,33554432,3,intel core i7-6700 CPU-3.40GHZ,5722310,5468743,5863.701897,6135.581796
17-3,33554432,4,intel core i7-6700 CPU-3.40GHZ,6353048,7224650,5281.546747,4644.366163
17-3,33554432,4,intel core i7-6700 CPU-3.40GHZ,6494252,6905297,5166.7105,4859.156673
17-3,33554432,4,intel core i7-6700 CPU-3.40GHZ,7024182,6663009,4776.914949,5035.85092
17-3,33554432,4,intel core i7-6700 CPU-3.40GHZ,7481426,6227196,4484.963161,5388.28712
17-3,67108864,1,intel core i7-6700 CPU-3.40GHZ,8548001,8589742,7850.70568,7812.555953
17-3,67108864,2,intel core i7-6700 CPU-3.40GHZ,10066054,9925887,6666.747466,6760.890991
17-3,67108864,2,intel core i7-6700 CPU-3.40GHZ,10226468,9796807,6562.171808,6849.970608
17-3,67108864,3,intel core i7-6700 CPU-3.40GHZ,11338741,11752191,5918.456026,5710.240754
17-3,67108864,3,intel core i7-6700 CPU-3.40GHZ,11500628,11287821,5835.145698,5945.154517
17-3,67108864,3,intel core i7-6700 CPU-3.40GHZ,12016717,11660130,5584.54027,5755.325198
17-3,67108864,4,intel core i7-6700 CPU-3.40GHZ,13443260,14412081,4991.932016,4656.360174
17-3,67108864,4,intel core i7-6700 CPU-3.40GHZ,14313915,14321423,4688.293873,4685.836037
17-3,67108864,4,intel core i7-6700 CPU-3.40GHZ,14155238,13830464,4740.848582,4852.175603
17-3,67108864,4,intel core i7-6700 CPU-3.40GHZ,14055705,13470951,4774.420066,4981.670559
17-3,134217728,1,intel core i7-6700 CPU-3.40GHZ,16570187,16669507,8099.906175,8051.645439
17-3,134217728,2,intel core i7-6700 CPU-3.40GHZ,18846490,19054745,7121.589219,7043.755243
17-3,134217728,2,intel core i7-6700 CPU-3.40GHZ,20008887,19484324,6707.867359,6888.45864
17-3,134217728,3,intel core i7-6700 CPU-3.40GHZ,22367578,22731778,6000.513779,5904.375804
17-3,134217728,3,intel core i7-6700 CPU-3.40GHZ,22558955,22498964,5949.608925,5965.472899
17-3,134217728,3,intel core i7-6700 CPU-3.40GHZ,25545739,22741241,5253.986193,5901.918897
17-3,134217728,4,intel core i7-6700 CPU-3.40GHZ,25310017,26295541,5302.918603,5104.171844
17-3,134217728,4,intel core i7-6700 CPU-3.40GHZ,27715394,27460420,4842.686342,4887.651391
17-3,134217728,4,intel core i7-6700 CPU-3.40GHZ,30241343,26604060,4438.194428,5044.980353
17-3,134217728,4,intel core i7-6700 CPU-3.40GHZ,30856489,26942778,4349.715873,4981.556096
17-3,268435456,1,intel core i7-6700 CPU-3.40GHZ,33331977,33532294,8053.383692,8005.273961
17-3,268435456,2,intel core i7-6700 CPU-3.40GHZ,37592323,37575395,7140.691997,7143.908933
17-3,268435456,2,intel core i7-6700 CPU-3.40GHZ,40208360,39483257,6676.104173,6798.70964
17-3,268435456,3,intel core i7-6700 CPU-3.40GHZ,44499220,44263094,6032.357421,6064.537648
17-3,268435456,3,intel core i7-6700 CPU-3.40GHZ,45152859,44986890,5945.032185,5966.965042
17-3,268435456,3,intel core i7-6700 CPU-3.40GHZ,47397705,45539131,5663.464085,5894.605235
17-3,268435456,4,intel core i7-6700 CPU-3.40GHZ,54774756,54733253,4900.710101,4904.4262
17-3,268435456,4,intel core i7-6700 CPU-3.40GHZ,55066230,54291440,4874.769891,4944.33745
17-3,268435456,4,intel core i7-6700 CPU-3.40GHZ,55371385,54837583,4847.904744,4895.095395
17-3,268435456,4,intel core i7-6700 CPU-3.40GHZ,59922438,54808651,4479.710922,4897.679383
17-3,536870912,1,intel core i7-6700 CPU-3.40GHZ,65368407,65411789,8212.995002,8207.548031
17-3,536870912,2,intel core i7-6700 CPU-3.40GHZ,75294668,74572603,7130.257882,7199.298112
17-3,536870912,2,intel core i7-6700 CPU-3.40GHZ,75779852,75452768,7084.606077,7115.317492
17-3,536870912,3,intel core i7-6700 CPU-3.40GHZ,91078414,90155229,5894.595398,5954.955757
17-3,536870912,3,intel core i7-6700 CPU-3.40GHZ,91206672,89409920,5886.306212,6004.595463
17-3,536870912,3,intel core i7-6700 CPU-3.40GHZ,91605252,91452150,5860.694537,5870.506052
17-3,536870912,4,intel core i7-6700 CPU-3.40GHZ,111657113,111115242,4808.205994,4831.653969
17-3,536870912,4,intel core i7-6700 CPU-3.40GHZ,112358806,112497801,4778.178223,4772.274615
17-3,536870912,4,intel core i7-6700 CPU-3.40GHZ,111955328,111776504,4795.398393,4803.070241
17-3,536870912,4,intel core i7-6700 CPU-3.40GHZ,113841260,112210570,4715.956236,4784.490445
17-3,1073741824,1,intel core i7-6700 CPU-3.40GHZ,134807888,134879207,7964.970121,7960.758547
